id,member,city,spend,income,age,visits
C118,True,甲,524.31,10527.17,61,2
C119,True,甲,674.72,11056.25,43,3
C120,True,甲,895.37,11573.16,63,5
C121,True,甲,541.41,11349.1,38,4
C122,True,甲,628.02,8772.5,41,2
C123,True,甲,1388.76,13421.63,60,8
C124,True,甲,547.42,11456.07,24,3
C125,True,甲,1255.7,12314.29,52,10
C126,True,甲,664.82,9153.19,44,4
C127,True,甲,1132.78,7723.25,61,9
C128,True,甲,680.28,11092.31,37,4
C129,True,甲,403.92,11107.31,27,4
C130,True,甲,404.58,11576.51,22,2
C131,True,甲,634.88,8846.49,54,2
C132,True,甲,698.22,10538.92,36,5
C133,True,甲,1210.22,10802.35,32,7
C134,True,甲,559.43,10750.29,27,6
C135,True,甲,553.78,11231.46,50,4
C136,True,甲,963.44,9223.83,44,9
C137,True,甲,1222.09,10045.69,28,10
C138,True,甲,672.48,10036.55,44,3
C139,True,甲,390.13,9393.07,42,2
C140,True,甲,510.77,7340.3,48,3
C141,True,甲,501.72,10833.43,56,3
C142,True,甲,861.03,11666.01,50,6
C143,True,甲,287.4,10223.76,51,1
C144,True,甲,435.25,14907.89,62,4
C145,True,甲,1611.07,11010.03,64,10
C146,True,甲,1192.38,9010.51,45,7
C147,True,甲,645.52,9694.45,23,4
C148,True,甲,1009.02,11197.61,33,8
C149,True,甲,862.85,9817.19,34,6
C150,True,甲,967.44,11632.62,39,5
C151,True,甲,646.78,10390.79,43,6
C152,True,甲,1839.16,10248.92,35,13
C153,True,甲,538.68,10036.82,59,4
C154,True,甲,1129.26,8173.52,47,9
C155,True,甲,409.8,14325.07,61,2
C156,True,甲,460.27,12688.24,29,3
C157,True,甲,757.76,12421.46,36,7
C158,True,甲,607.19,11220.49,30,5
C159,True,甲,827.14,12190.16,51,7
C160,True,甲,606.24,12154.07,50,5
C161,True,甲,192.26,10706.59,44,1
C162,True,甲,511.47,11174.85,45,4
C163,True,甲,997.85,14614.69,39,7
C164,True,甲,813.74,12131.74,65,5
C165,True,甲,335.27,12846.76,26,2
C166,True,甲,1078.95,11259.67,59,7
C167,True,甲,564.95,11944.16,35,4
C168,True,甲,573.26,9026.35,58,3
C169,True,甲,469.76,8079.43,40,4
C170,True,甲,384.05,11596.38,48,4
C171,True,甲,350.05,10282.48,63,3
C172,True,甲,736.64,9958.68,46,7
C173,True,甲,462.62,13498.57,26,3
C174,True,甲,1722.09,8362.82,61,12
C175,True,甲,469.04,13295.01,23,4
C176,True,甲,452.02,13893.37,34,2
C177,True,甲,802.96,9652.62,58,5
C178,True,甲,189.82,11950.66,38,2
C179,True,甲,511.31,10737.23,40,4
C180,True,甲,721.07,13265.36,39,7
C181,True,乙,377.62,6509.35,64,2
C182,True,乙,87.22,7713.38,60,1
C183,True,乙,157.02,7342.88,51,1
C184,True,乙,255.06,8373.93,29,2
C185,True,乙,275.36,5646.79,34,1
C186,True,乙,324.41,9563.48,53,2
C187,True,乙,398.93,7602.87,36,3
C188,True,乙,425.16,8344.15,46,3
C189,True,乙,164.34,7559.62,52,2
C190,True,乙,344.21,7815.13,54,2
C191,True,乙,198.62,5445.26,60,2
C192,True,乙,346.49,6364.19,34,2
C193,True,乙,171.16,5086.99,37,1
C194,True,乙,139.53,6192.97,44,1
C195,True,乙,319.47,6797.15,58,4
C196,True,乙,178.83,6043.36,31,2
C197,True,乙,437.95,4411.47,59,3
C198,True,乙,797.9,6139.1,43,5
C199,True,乙,885.31,5940.9,37,6
C200,True,乙,132.56,3733.97,24,1
C201,True,乙,148.84,3584.75,31,1
C202,True,乙,375.07,4706.85,65,3
C203,True,乙,448.93,2500.0,52,2
C204,True,乙,390.61,4946.64,59,3
C205,True,乙,211.83,6666.39,57,1
C206,True,乙,478.2,3907.45,57,4
C207,True,乙,208.5,4584.22,56,1
C208,True,乙,477.08,5660.19,63,3
C209,True,乙,269.81,7591.77,62,1
C210,True,乙,636.88,6000.0,55,2
C211,True,乙,470.93,7104.53,50,3
C212,True,乙,137.79,6193.99,53,1
C213,True,乙,932.92,7211.38,58,6
C214,True,乙,641.08,6770.95,61,5
C215,True,乙,126.6,5996.9,61,1
C216,True,乙,312.41,5182.41,37,3
C217,True,乙,383.89,7116.46,57,2
C218,True,乙,365.84,4429.84,53,1
C219,True,乙,304.61,7308.95,26,2
C220,True,乙,605.84,7046.78,29,3
C221,True,乙,413.67,4553.52,37,2
C222,True,乙,620.35,5621.78,59,6
C223,True,乙,235.6,5218.56,42,2
C224,True,乙,848.74,5799.11,32,8
C225,True,乙,195.37,6123.84,47,1
C226,True,乙,132.13,4615.16,36,1
C227,True,乙,254.32,7113.23,35,3
C228,True,乙,518.37,8893.98,45,3
C229,True,乙,144.17,5414.29,47,1
C230,True,乙,357.7,6595.38,42,3
C231,True,乙,144.73,4447.54,30,2
C232,True,乙,480.08,4241.17,50,2
C233,True,乙,381.0,6557.61,53,3
C234,True,乙,253.6,6863.09,53,3
C235,True,乙,122.75,3141.2,64,1
C236,True,乙,365.47,6318.9,34,3
C237,True,乙,277.25,3779.18,25,1
C238,True,乙,288.42,6647.97,57,1
C239,True,乙,255.82,6818.9,54,4
C240,True,乙,365.65,4459.18,38,4
C241,False,甲,517.81,10092.71,48,5
C242,False,甲,1351.78,10444.7,61,7
C243,False,甲,634.19,13680.58,59,5
C244,False,甲,989.4,12204.16,65,7
C245,False,甲,496.61,10170.02,36,4
C246,False,甲,599.7,10038.4,59,5
C247,False,甲,414.23,10300.52,44,5
C248,False,甲,952.22,8070.59,40,6
C249,False,甲,927.34,11373.31,36,5
C250,False,甲,1008.65,11335.47,44,6
C251,False,甲,593.22,10821.52,29,5
C252,False,甲,1171.27,11403.49,48,9
C253,False,甲,373.84,11738.07,61,2
C254,False,甲,344.61,10007.56,44,1
C255,False,甲,430.34,10849.54,62,2
C256,False,甲,781.58,11775.77,47,7
C257,False,甲,584.93,11216.18,53,6
C258,False,甲,135.36,10582.16,50,1
C259,False,甲,1194.46,9400.18,63,7
C260,False,甲,1245.97,10154.9,49,9
C261,False,甲,968.63,11305.63,31,7
C262,False,甲,262.06,10914.25,46,2
C263,False,甲,929.17,12718.05,50,6
C264,False,甲,677.72,11122.62,36,5
C265,False,甲,385.37,14151.02,63,3
C266,False,甲,860.86,11013.06,38,5
C267,False,甲,1198.74,11524.02,30,8
C268,False,甲,1358.73,9912.88,46,9
C269,False,甲,1763.55,9792.66,30,15
C270,False,甲,850.86,10838.39,47,7
C271,False,甲,1233.89,11079.24,34,8
C272,False,甲,719.93,11606.43,27,4
C273,False,甲,501.97,12785.28,45,5
C274,False,甲,854.29,10350.63,32,5
C275,False,甲,565.47,9832.82,47,3
C276,False,甲,623.2,9961.1,57,4
C277,False,甲,730.2,13316.43,33,4
C278,False,甲,729.52,11829.99,33,5
C279,False,甲,343.75,11455.73,64,3
C280,False,甲,633.09,12264.31,46,5
C281,False,甲,565.96,10477.62,34,5
C282,False,甲,932.1,10014.4,59,5
C283,False,甲,675.09,6673.97,56,4
C284,False,甲,921.28,11477.02,30,6
C285,False,甲,557.57,10814.3,43,4
C286,False,甲,281.62,12161.11,44,1
C287,False,甲,779.11,9999.15,53,5
C288,False,甲,361.95,7894.92,56,2
C289,False,甲,1766.11,12273.02,52,12
C290,False,甲,892.84,9521.19,46,5
C291,False,甲,2497.16,15495.4,34,17
C292,False,甲,1285.69,12845.9,23,9
C293,False,甲,812.62,9257.2,53,5
C294,False,甲,395.04,10380.93,36,5
C295,False,甲,321.15,7854.42,49,4
C296,False,甲,275.74,9016.93,33,1
C297,False,甲,849.53,11917.75,55,5
C298,False,甲,574.52,6520.05,36,2
C299,False,甲,1406.63,11136.47,37,11
C300,False,甲,909.78,7919.41,37,4
C301,False,乙,403.48,5972.91,44,4
C302,False,乙,178.99,7041.28,29,1
C303,False,乙,439.89,4299.57,36,4
C304,False,乙,234.19,5872.44,61,1
C305,False,乙,724.82,5626.7,34,6
C306,False,乙,267.94,7769.15,53,1
C307,False,乙,338.43,4594.49,43,2
C308,False,乙,319.58,7835.7,60,3
C309,False,乙,248.11,5147.35,45,2
C310,False,乙,511.01,5736.45,42,3
C311,False,乙,344.35,6412.46,50,1
C312,False,乙,274.95,5223.4,45,1
C313,False,乙,347.6,5184.28,53,3
C314,False,乙,659.81,4355.87,38,5
C315,False,乙,446.38,8934.6,34,2
C316,False,乙,358.52,2500.0,26,2
C317,False,乙,89.38,4913.66,33,1
C318,False,乙,534.32,6785.72,64,4
C319,False,乙,232.43,4940.18,50,1
C320,False,乙,639.47,4456.91,65,6
C321,False,乙,241.27,8433.29,23,2
C322,False,乙,547.76,7658.47,49,4
C323,False,乙,249.66,7247.27,52,1
C324,False,乙,259.48,5221.92,58,2
C325,False,乙,637.75,5692.25,34,5
C326,False,乙,629.5,7429.73,49,7
C327,False,乙,227.02,9438.74,41,3
C328,False,乙,376.5,6132.93,28,2
C329,False,乙,149.65,5229.01,33,1
C330,False,乙,317.72,9663.62,29,2
C331,False,乙,297.44,6601.47,23,2
C332,False,乙,232.41,4344.18,59,2
C333,False,乙,258.38,7136.86,50,2
C334,False,乙,121.81,4840.79,41,1
C335,False,乙,470.64,5497.08,53,2
C336,False,乙,192.37,8459.41,29,1
C337,False,乙,469.01,7958.86,40,3
C338,False,乙,458.03,7346.34,59,3
C339,False,乙,532.39,6413.46,33,4
C340,False,乙,489.71,6823.43,33,1
C341,False,乙,310.02,5962.7,57,2
C342,False,乙,266.36,7883.28,28,1
C343,False,乙,492.08,6588.83,50,3
C344,False,乙,845.88,7175.97,29,6
C345,False,乙,330.69,4598.55,61,5
C346,False,乙,362.4,8050.95,27,2
C347,False,乙,672.64,2500.0,37,4
C348,False,乙,349.45,5829.4,22,3
C349,False,乙,353.39,6398.47,60,1
C350,False,乙,380.37,5336.78,61,4
C351,False,乙,200.8,5824.0,38,1
C352,False,乙,326.11,7937.7,47,3
C353,False,乙,426.05,7614.12,33,4
C354,False,乙,901.8,4125.56,64,6
C355,False,乙,228.91,6078.34,33,1
C356,False,乙,256.16,7460.97,31,4
C357,False,乙,270.69,7742.66,29,3
C358,False,乙,430.03,8509.44,30,2
C359,False,乙,273.49,5301.1,61,3
C360,False,乙,159.44,6922.83,58,1
C361,False,乙,320.06,2500.0,52,1
C362,False,乙,239.67,7269.56,43,1
C363,False,乙,126.24,3926.43,44,1
C364,False,乙,391.56,6332.69,33,4
C365,False,乙,381.11,7727.45,33,1
C366,False,乙,257.73,5976.02,63,1
C367,False,乙,274.22,6529.35,51,2
C368,False,乙,219.13,5962.46,23,2
C369,False,乙,579.9,6052.82,55,2
C370,False,乙,233.08,5818.24,37,3
C371,False,乙,815.45,6386.87,45,6
C372,False,乙,315.9,8329.57,22,2
C373,False,乙,154.7,5777.19,30,2
C374,False,乙,341.66,8869.1,29,2
C375,False,乙,347.45,7774.1,38,1
C376,False,乙,465.74,4657.85,40,4
C377,False,乙,625.04,4273.31,56,6
C378,False,乙,576.06,4365.85,33,2
C379,False,乙,176.89,7335.99,40,2
C380,False,乙,392.06,3940.28,61,1
C381,False,乙,304.57,5991.24,61,1
C382,False,乙,321.38,7702.76,61,1
C383,False,乙,145.59,5810.66,23,1
C384,False,乙,366.93,7933.48,62,3
C385,False,乙,419.52,8904.13,41,3
C386,False,乙,476.9,5669.9,29,2
C387,False,乙,494.29,8379.06,60,4
C388,False,乙,656.95,4189.31,27,4
C389,False,乙,126.47,6879.17,55,2
C390,False,乙,463.21,3643.39,34,3
C391,False,乙,499.74,8564.55,53,4
C392,False,乙,880.92,8769.98,50,9
C393,False,乙,187.15,5604.64,58,1
C394,False,乙,499.42,5377.7,59,3
C395,False,乙,111.63,8675.09,41,2
C396,False,乙,299.24,8134.0,38,1
C397,False,乙,268.94,7656.98,63,3
C398,False,乙,636.4,5517.19,61,4
C399,False,乙,420.06,6827.67,51,3
C400,False,乙,200.78,4061.11,40,1
C401,False,乙,510.8,8415.95,40,4
C402,False,乙,576.45,5494.12,29,5
C403,False,乙,262.66,8390.58,46,2
C404,False,乙,95.51,3402.78,35,1
C405,False,乙,463.0,5124.7,28,5
C406,False,乙,748.97,5901.76,61,5
C407,False,乙,419.97,5155.7,65,3
C408,False,乙,484.21,2795.14,51,3
C409,False,乙,215.0,5650.85,47,2
C410,False,乙,697.09,6648.72,58,4
C411,False,乙,439.2,5259.91,62,1
C412,False,乙,1050.55,4891.47,36,6
C413,False,乙,649.04,2500.0,43,5
C414,False,乙,531.75,6158.45,52,4
C415,False,乙,264.82,2500.0,51,1
C416,False,乙,233.97,3999.58,42,2
C417,False,乙,510.56,5093.47,46,4
C418,False,乙,224.14,5079.18,24,1
C419,False,乙,152.43,5104.85,49,1
C420,False,乙,562.9,6710.06,22,4
C421,False,乙,643.69,5361.94,53,4
C422,False,乙,563.31,5835.52,24,5
C423,False,乙,275.41,8965.52,60,2
C424,False,乙,724.76,5402.61,24,5
C425,False,乙,184.11,6365.13,65,1
C426,False,乙,247.46,5855.88,54,2
C427,False,乙,203.75,7032.23,49,1
C428,False,乙,312.57,6298.96,42,3
C429,False,乙,767.57,4425.7,50,5
C430,False,乙,284.5,4486.15,60,3
C431,False,乙,938.71,6996.84,45,7
C432,False,乙,248.7,6900.71,64,1
C433,False,乙,707.26,3710.24,27,4
C434,False,乙,194.79,2500.0,41,2
C435,False,乙,345.56,4972.18,34,2
C436,False,乙,223.99,6725.59,33,3
C437,False,乙,380.22,8020.97,57,3
C438,False,乙,716.51,8146.06,38,4
C439,False,乙,127.92,5386.57,64,1
C440,False,乙,820.43,4268.1,63,5
C441,False,乙,396.2,3916.34,25,3
C442,False,乙,595.59,5787.27,30,5
C443,False,乙,394.07,5985.81,45,3
C444,False,乙,269.45,5866.54,42,2
C445,False,乙,169.42,5887.16,32,1
C446,False,乙,268.63,5919.3,59,2
C447,False,乙,534.31,7603.56,50,3
C448,False,乙,234.66,5250.82,65,1
C449,False,乙,80.11,5866.99,44,1
C450,False,乙,625.74,4975.79,60,2
C451,False,乙,327.21,7282.85,38,2
C452,False,乙,410.25,3694.54,58,5
C453,False,乙,237.91,8095.93,23,2
C454,False,乙,297.65,5824.98,64,2
C455,False,乙,504.79,5655.62,43,4
C456,False,乙,202.33,5243.89,63,4
C457,False,乙,508.18,8667.27,52,4
C458,False,乙,825.88,8372.64,64,6
C459,False,乙,676.48,4975.73,33,6
C460,False,乙,165.49,6225.04,53,2
C461,False,乙,379.76,4725.01,59,2
C462,False,乙,744.24,4598.8,24,5
C463,False,乙,203.31,5479.78,26,1
C464,False,乙,112.51,6848.44,58,2
C465,False,乙,661.31,3008.19,35,4
C466,False,乙,365.29,5498.31,45,2
C467,False,乙,858.77,7440.74,24,6
C468,False,乙,205.98,4838.63,40,2
C469,False,乙,544.83,10486.07,38,4
C470,False,乙,502.31,5056.03,24,4
C471,False,乙,219.33,5138.08,26,1
C472,False,乙,178.89,6537.22,36,1
C473,False,乙,850.98,4613.34,47,5
C474,False,乙,356.35,5676.32,40,3
C475,False,乙,318.69,6746.91,37,3
C476,False,乙,659.19,7905.79,56,4
C477,False,乙,245.33,7677.17,28,2
C478,False,乙,386.41,5268.02,41,2
C479,False,乙,541.26,5501.42,33,5
C480,False,乙,334.02,6001.98,60,2
